PPC Dashboard Leads Data updated till 31st-July-26,,,,,Total,,,July' 2026,,,June' 2026,,,May' 2026,,,Apr' 2026,,,Mar' 2026,,,Feb' 2026,,,Jan' 2026,,,Dec' 2025,,,Nov' 2025,,,Oct' 2025,,,Sep' 2025,,,Aug' 2025,,,July' 2025,,,June' 2025,,,May' 2025,,,Apr' 2025,,,Mar' 2025,,,Feb' 2025,,,Jan' 2025,,,Dec' 2024,,,Nov' 2024,,,Oct' 2024,,,Sep' 2024,,,Aug' 2024,,,July' 2024,,,June' 2024,,,May' 2024,,,Apr' 2024,,,Mar' 2024,,,Feb' 2024,,,Jan' 2024,,,Dec' 2023,,,Nov' 2023,,,Oct' 2023,,,Sep' 2023,,,Aug' 2023,,,Jul' 2023,,,Jun' 2023,,,May' 2023,,,April' 2023,,,,,,February' 2023,,,January' 2023,,,December' 2022,,,November' 2022,,,October' 2022,,,September' 2022,,,August' 2022,,,July' 2022,,,June' 2022,,,,,June' 2022,,
383,Hire Dedicated Developer M,https://www.virtualemployee.com/da/hire-dedicated-developer-m/,Nilanjana,Nabil,84,1,1.19%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,26,0,0.00%,5,0,0.00%,4,1,25.00%,1,0,0.00%,4,0,0.00%,12,0,0.00%,5,0,0.00%,8,0,0.00%,3,0,0.00%,7,0,0.00%,5,0,0.00%,4,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
384,Hire Web Developer Philippines,https://www.virtualemployee.com/da/hire-web-developer-philippines/,Vivek,Nabil,6,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,4,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
385,Hire White Label Developer,https://www.virtualemployee.com/da/hire-white-label-developer/,Tanumoy,Nabil,1263,15,1.19%,0,0,,2,0,0.00%,0,0,,4,0,0.00%,64,0,0.00%,27,2,7.41%,17,1,5.88%,48,0,0.00%,31,0,0.00%,23,0,0.00%,9,0,0.00%,0,0,,8,1,12.50%,5,0,0.00%,11,0,0.00%,15,0,0.00%,18,0,0.00%,27,1,3.70%,23,1,4.35%,17,0,0.00%,16,0,0.00%,25,0,0.00%,22,1,4.55%,34,0,0.00%,40,0,0.00%,47,0,0.00%,75,0,0.00%,85,1,1.18%,112,3,2.68%,68,0,0.00%,70,0,0.00%,13,0,0.00%,49,1,2.04%,66,2,3.03%,60,1,1.67%,67,0,0.00%,31,2,6.45%,9,0,0.00%,10,0,0.00%,22,0,0.00%,51,0,0.00%,29,0,0.00%,1,0,0.00%,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
386,Hire Devops Engineer,https://www.virtualemployee.com/ir/hire-devops-engineer/,Shaona,Rahul,4,0,0.00%,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
387,Hire Copywriter,https://www.virtualemployee.com/da/hire-copywriter/,Daya,Rajni,152,5,3.29%,14,0,0.00%,6,0,0.00%,9,0,0.00%,1,0,0.00%,19,0,0.00%,11,0,0.00%,7,0,0.00%,12,0,0.00%,13,,,15,3,20.00%,11,1,9.09%,0,0,,2,0,0.00%,1,0,0.00%,9,1,11.11%,5,0,0.00%,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,2,0,0.00%,1,0,0.00%,12,1,8.33%,3,0,0.00%,4,0,0.00%,7,0,0.00%,4,0,0.00%,3,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,5,0,0.00%,23,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
388,Hire Real Estate Web Developers,https://www.virtualemployee.com/ir/hire-real-estate-web-developers/,Arpan,Brijesh,160,4,2.50%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,3,0,0.00%,4,0,0.00%,6,0,0.00%,12,0,0.00%,1,0,0.00%,2,0,0.00%,1,0,0.00%,5,0,0.00%,6,0,0.00%,3,1,33.33%,5,0,0.00%,7,0,0.00%,13,1,7.69%,17,1,5.88%,16,0,0.00%,6,0,0.00%,17,1,5.88%,8,0,0.00%,1,0,0.00%,7,0,0.00%,2,0,0.00%,4,0,0.00%,2,0,0.00%,2,0,0.00%,3,0,0.00%,1,0,0.00%,7,0,0.00%,2,0,0.00%,4,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
389,Hire Remote Developer,https://www.virtualemployee.com/da/hire-remote-developer/,Vivek,Rajni,240,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,60,0,0.00%,79,0,0.00%,77,0,0.00%,24,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
390,Hire Wordpress Developer M,https://www.virtualemployee.com/da/hire-wordpress-developer-m/,Koyel,Nabil,140,3,2.14%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,76,2,2.63%,7,0,0.00%,56,1,1.79%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
391,Hire Mechanical Autocad Engineer,https://www.virtualemployee.com/da/hire-mechanical-autocad-engineer/,Tanumoy,Rajni,461,2,0.43%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,352,2,0.57%,84,0,0.00%,24,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
392,Hire Adwords Experts,https://www.virtualemployee.com/ir/hire-adwords-experts/,Poulami,KL,113,1,0.88%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,2,0,0.00%,5,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,18,0,0.00%,64,1,1.56%,11,0,0.00%,10,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
393,Hire Autocad Experts M,https://www.virtualemployee.com/da/hire-autocad-experts-m/,Nilanjana,Nabil,646,5,0.77%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,289,3,1.04%,78,0,0.00%,279,2,0.72%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
394,Hire Autocad Engineers,https://www.virtualemployee.com/ir/hire-autocad-engineers/,Shaona,KL,835,13,1.56%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,341,5,1.47%,92,1,1.09%,402,7,1.74%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
395,Hire Machine Learning Developers,https://www.virtualemployee.com/ir/hire-machine-learning-developers/,Arpan,KL,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
396,Elite Outsource To India U,https://www.virtualemployee.com/service/elite-outsource-to-india-u/,old,old,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
397,Free Trial A,https://www.virtualemployee.com/da/free-trial-a/,Daya,Nabil,6,1,16.67%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,1,20.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
398,Free Trial B,https://www.virtualemployee.com/da/free-trial-b/,Daya,Nabil,7,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,6,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
399,Free Trial Cr,https://www.virtualemployee.com/da/free-trial-cr/,Ankita,Pratib,114,7,6.14%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,2,0,0.00%,27,3,11.11%,26,0,0.00%,31,3,9.68%,27,1,3.70%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
400,Hire 2D Animation Expert,https://www.virtualemployee.com/da/hire-2d-animation-expert/,Tanumoy,Rajni,4,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
401,Hire Administrative Assistant Optimized Cr,https://www.virtualemployee.com/da/hire-administrative-assistant-optimized-cr/,Ankita,Pratib,415,6,1.45%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,183,3,1.64%,86,2,2.33%,146,1,0.68%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
402,Hire Autocad Experts,https://www.virtualemployee.com/da/hire-autocad-experts/,Nilanjana,Nabil,324,7,2.16%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,291,7,2.41%,33,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
403,Hire Content Writer,https://www.virtualemployee.com/da/hire-content-writer/,Daya,Nabil,803,52,6.48%,65,2,3.08%,60,3,5.00%,40,4,10.00%,39,6,15.38%,164,4,2.44%,73,3,4.11%,56,4,7.14%,58,6,0.00%,54,3,,56,4,7.14%,64,2,3.13%,44,4,9.09%,44,5,11.36%,26,0,0.00%,35,2,5.71%,7,0,0.00%,0,0,,0,0,,0,0,,22,0,0.00%,8,0,0.00%,0,0,,7,0,0.00%,36,4,11.11%,22,4,18.18%,24,0,0.00%,24,1,4.17%,41,1,2.44%,37,3,8.11%,4,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,8,0,0.00%,7,2,28.57%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
404,Hire Custom Mobile App Developer,https://www.virtualemployee.com/da/hire-custom-mobile-app-developer/,Vivek,Rajni,552,12,2.17%,60,2,3.33%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,154,3,1.95%,29,0,0.00%,0,0,,175,3,1.71%,118,4,3.39%,0,0,,0,0,,0,0,,13,0,0.00%,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
405,Hire Data Entry Expert M,https://www.virtualemployee.com/da/hire-data-entry-expert-m/,Jishnu,Nabil,980,8,0.82%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,220,1,0.45%,430,5,1.16%,330,2,0.61%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
406,Hire Developer Cr,https://www.virtualemployee.com/da/hire-developer-cr/,Frazer,Pratib,484,22,4.55%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,2,0,0.00%,177,6,3.39%,117,5,4.27%,79,4,5.06%,104,7,6.73%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
407,Hire Digital Marketing,https://www.virtualemployee.com/da/hire-digital-marketing/,Koyel,Nabil,615,8,1.30%,1,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,2,0,0.00%,4,0,0.00%,435,6,1.38%,167,2,1.20%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
408,Hire Digital Marketing Expert Mobile Optimized Cr,https://www.virtualemployee.com/da/hire-digital-marketing-expert-mobile-optimized-cr/,Ankita,Binoy,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
409,Hire Freelance Software Developers Cr,https://www.virtualemployee.com/da/hire-freelance-software-developers-cr/,Ankita,Binoy,67,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,9,0,0.00%,19,0,0.00%,39,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
410,Hire Mobile App Developers Cr,https://www.virtualemployee.com/da/hire-mobile-app-developers-cr/,Ankita,Pratib,4239,153,3.61%,2,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,0,0.00%,28,1,3.57%,75,3,4.00%,68,4,5.88%,60,1,1.67%,498,13,2.61%,657,6,0.91%,1110,10,0.90%,391,15,3.84%,394,24,6.09%,393,28,7.12%,146,10,6.85%,168,12,7.14%,160,12,7.50%,90,4,4.44%,0,0,,0,0,,0,0,,0,0,,118,2,1.69%,21,0,0.00%,14,0,0.00%,293,3,1.02%,184,5,2.72%,1,0,0.00%,0,0,,0,0,,16,0,0.00%,5,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
411,Hire Offshore Developer,https://www.virtualemployee.com/da/hire-offshore-developer/,Vivek,Nabil,660,25,3.79%,0,0,,0,0,,0,0,,0,0,,5,0,0.00%,2,0,0.00%,3,0,0.00%,1,0,0.00%,41,0,,69,3,4.35%,31,3,9.68%,25,1,4.00%,13,1,7.69%,3,0,0.00%,22,0,0.00%,23,1,4.35%,22,0,0.00%,30,2,6.67%,25,1,4.00%,35,0,0.00%,32,1,3.13%,31,1,3.23%,31,1,3.23%,25,1,4.00%,21,0,0.00%,45,1,2.22%,38,1,2.63%,43,1,2.33%,22,1,4.55%,22,1,4.55%,17,1,5.88%,3,0,0.00%,8,0,0.00%,5,0,0.00%,5,0,0.00%,12,2,16.67%,14,0,0.00%,12,0,0.00%,7,2,28.57%,5,0,0.00%,11,2,18.18%,8,0,0.00%,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
412,Hire Outsource Accounting To India Optimized Cr,https://www.virtualemployee.com/da/hire-outsource-accounting-to-india-optimized-cr/,Ankita,Pratib,173,3,1.73%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,22,0,0.00%,124,1,0.81%,27,2,7.41%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
413,Hire Ppc Experts Cr,https://www.virtualemployee.com/da/hire-ppc-experts-cr/,Nikita,Pratib,15696,601,3.83%,2,0,0.00%,4,0,0.00%,8,0,0.00%,33,0,0.00%,51,0,0.00%,31,0,0.00%,13,0,0.00%,2,0,0.00%,2,0,,3,0,0.00%,5,0,0.00%,0,0,,15,0,0.00%,2,0,0.00%,1,0,0.00%,115,0,0.00%,372,7,1.88%,321,8,2.49%,322,8,2.48%,322,11,3.42%,365,11,3.01%,476,14,2.94%,445,18,4.04%,588,14,2.38%,749,25,3.34%,544,17,3.13%,926,31,3.35%,1414,47,3.32%,1140,46,4.04%,1141,42,3.68%,1157,41,3.54%,788,40,5.08%,621,33,5.31%,652,32,4.91%,607,29,4.78%,1005,42,4.18%,1240,56,4.52%,15,2,13.33%,0,0,,2,0,0.00%,192,8,4.17%,361,15,4.16%,61,4,6.56%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
414,Hire Ppc Experts M Cr,https://www.virtualemployee.com/da/hire-ppc-experts-m-cr/,Nikita,Pratib,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
415,Hire Prestashop Developer,https://www.virtualemployee.com/da/hire-prestashop-developer/,Nilanjana,Nabil,4,2,50.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,1,100.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,100.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
416,Hire Programmer M,https://www.virtualemployee.com/da/hire-programmer-m/,Nilanjana,Rajni,19335,763,3.95%,484,16,3.31%,614,19,3.09%,639,25,3.91%,572,26,4.55%,2359,26,1.10%,819,20,2.44%,757,29,3.83%,500,27,0.00%,632,22,,621,15,2.42%,585,23,3.93%,510,16,3.14%,662,32,4.83%,573,32,5.58%,621,28,4.51%,586,29,4.95%,672,28,4.17%,601,28,4.66%,646,26,4.02%,610,26,4.26%,660,35,5.30%,574,23,4.01%,569,21,3.69%,431,8,1.86%,538,23,4.28%,513,29,5.65%,438,16,3.65%,541,17,3.14%,659,21,3.19%,556,32,5.76%,526,28,5.32%,412,14,3.40%,373,18,4.83%,464,14,3.02%,336,14,4.17%,497,17,3.42%,478,23,4.81%,229,11,4.80%,248,16,6.45%,165,6,3.64%,243,10,4.12%,179,11,6.15%,165,4,2.42%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
417,Hire Remote Staff Cr,https://www.virtualemployee.com/da/hire-remote-staff-cr/,Ankita,Binoy,13155,695,5.28%,383,16,4.18%,305,18,5.90%,345,17,4.93%,353,28,7.93%,1094,17,1.55%,373,23,6.17%,411,27,6.57%,432,12,0.00%,475,19,,490,37,7.55%,538,29,5.39%,635,37,5.83%,538,22,4.09%,457,19,4.16%,580,25,4.31%,524,13,2.48%,242,12,4.96%,276,15,5.43%,309,13,4.21%,309,15,4.85%,280,23,8.21%,329,25,7.60%,268,35,13.06%,283,20,7.07%,282,7,2.48%,233,10,4.29%,372,26,6.99%,511,31,6.07%,458,20,4.37%,516,28,5.43%,435,35,8.05%,219,12,5.48%,241,16,6.64%,187,12,6.42%,175,13,7.43%,171,12,7.02%,161,8,4.97%,175,5,2.86%,341,16,4.69%,359,21,5.85%,376,15,3.99%,281,10,3.56%,206,6,2.91%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
